Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_266,266,17,0,0,0,0,0,2.000,182.375,184.375,11.473,266,1298.359,396.941,0,6.347,10.828,1.033,7.024,2.676,178.808,194.274,150.963,181.352,12.843
Track_267,267,17,0,0,0,0,0,2.000,182.875,184.875,24.627,267,774.154,666.559,0,12.324,18.719,9.893,11.384,2.640,180.133,201.316,154.711,181.676,15.610
Track_268,268,23,1,2,0,0,0,3.000,182.875,185.875,144.631,268,148.908,893.672,0,49.331,66.910,36.726,48.834,8.641,238.802,282.233,154.272,255.212,39.017
Track_270,270,522,0,0,0,0,0,65.125,184.500,249.625,1330.550,270,650.484,474.663,0,20.462,51.184,0.000,20.354,6.554,584.697,852.372,223.145,587.114,41.931
Track_272,272,365,8,7,0,0,0,48.250,185.125,233.375,744.026,272,630.517,508.794,0,15.329,27.507,1.556,15.012,4.887,202.588,282.838,150.467,201.432,29.891
Track_273,273,567,0,0,0,0,0,70.750,185.375,256.125,1330.577,273,639.670,792.867,0,18.842,48.222,2.206,18.995,5.839,287.163,492.796,228.476,286.622,22.451
Track_275,275,70,3,6,0,0,0,10.750,186.125,196.875,160.188,275,898.034,665.965,0,14.326,26.538,5.022,13.485,4.800,199.982,267.989,151.541,202.789,31.475
Track_276,276,156,6,5,0,0,0,21.250,186.625,207.875,658.843,276,685.700,892.997,0,32.974,157.794,8.371,26.589,21.633,239.876,298.639,153.231,244.879,36.951
Track_277,277,213,1,4,0,0,0,27.000,186.750,213.750,581.643,277,1000.442,359.109,0,21.575,39.524,10.415,21.591,6.277,208.238,260.476,151.957,210.268,28.651
Track_278,278,42,2,6,0,0,0,6.125,187.250,193.375,92.074,278,950.743,824.907,0,15.140,20.181,9.599,15.240,2.547,174.493,214.564,151.153,169.664,19.241
